knee_angle,trunk_lean,knee_forward,hip_balance,label
0.3788232050659346,0.5840879980841959,0.35712093114852905,0.060721635818481445,1.0
0.32481075037289997,0.6031783468460652,0.38762589295705163,0.0958096981048584,1.0
0.324383336697876,0.606820838094173,0.38224875926971436,0.11946737766265869,1.0
0.3289892576871687,0.6069947651111416,0.35639315843582153,0.10055303573608398,1.0
0.3351743573890615,0.5958582831835301,0.3415702780087789,0.15674829483032227,1.0
0.33353501743759784,0.6067680524743243,0.36114464203516644,0.11347830295562744,1.0
0.3450239919461068,0.5999782711114232,0.342154602209727,0.11698722839355469,1.0
0.3600625588335111,0.5893737542286225,0.3276543815930685,0.1675260066986084,1.0
0.35926336355382654,0.5961767773496914,0.32445689042409265,0.16785800457000732,1.0
0.3697100512055582,0.5971849957167105,0.31938085953394574,0.12463569641113281,1.0
0.36394797904899334,0.5874870953795103,0.32411148150761926,0.1347970962524414,1.0
0.5562987809356112,0.382407923214127,0.25373001893361413,0.07176518440246582,1.0
0.9059051531206185,0.04465357567815204,0.0979846715927124,0.008289813995361328,1.0
0.9675703855339022,0.027696834251530734,0.07384081681569418,0.012611746788024902,1.0
0.8708783001299638,0.052494177941612756,0.05560924609502157,0.006181895732879639,0.0
0.7405329914604921,0.05226990085903747,0.17692704995473227,0.10497599840164185,0.0
0.43923617903075907,0.513625100286267,0.311031440893809,0.0026679039001464844,0.0
0.3803645337223835,0.6890825253331623,0.22943854331970215,0.16372382640838623,0.0
0.3618261584751993,0.7067778728479465,0.21010051170984906,0.20156800746917725,0.0
0.3675669859457629,0.6766264138633494,0.1902565360069275,0.20138442516326904,0.0
0.398442685867604,0.634449392972425,0.11197636524836223,0.17721712589263916,0.0
0.346778280175466,0.6244283245097587,0.19786973794301352,0.2124941349029541,0.0
0.34395977321229615,0.638711641162839,0.19440780083338421,0.24535298347473145,0.0
0.37505273581825394,0.6124384753375579,0.15571256478627524,0.18686354160308838,0.0
0.4023634034900556,0.6550834881574428,0.1410047213236491,0.23892581462860107,0.0
0.5066037262289694,0.48155479201141355,0.19868413607279461,0.15835225582122803,0.0
0.8329289534654972,0.06320096808329015,0.06802817185719809,0.02833336591720581,0.0
0.8910206586255162,0.12351997887333933,0.06503134965896606,0.010705888271331787,0.0
0.9041110744727173,0.018913643917244694,0.11560261249542236,0.04191696643829346,0.0
0.9452205515456849,0.006645117698807438,0.09332249561945598,0.023413002490997314,0.0
0.7123252561656372,0.17104988691676246,0.2574137846628825,0.0899776816368103,0.0
0.3878980592636862,0.4762987815191792,0.3755805889765422,0.052985548973083496,0.0
0.31561512290086885,0.5441041507435318,0.37347445885340375,0.11603355407714844,0.0
